Height (m asl),RH (%),Latitude (º),Longitude (º),Pressure (mb),Temperature (K),Wind Direction (º),Wind Speed (m/s)
1833.56951,23.9484768,40.01229364,-105.2459676,807.537659,295.233246,126.237061,5.387242333
1837.422547,24.000124,40.01231405,-105.2459998,807.152649,295.196564,126.7743044,5.379432773
1841.163088,24.001318,40.01235031,-105.2460339,806.800354,295.165466,127.2938756,5.377151063
1844.568077,24.0045166,40.01239542,-105.2460709,806.4834,295.133362,127.7968367,5.380692979
1847.654222,24.03464,40.01244045,-105.2461063,806.1968,295.0965,128.2883398,5.390472708
1850.583803,24.04586,40.0124783,-105.2461359,805.9344,295.06073,128.7684806,5.406984711
1853.608308,24.0703239,40.01250701,-105.2461582,805.67804,295.025177,129.2270737,5.430391747
1857.033432,24.1286774,40.01252631,-105.246176,805.3426,294.989166,129.6479973,5.460094063
1860.680009,24.1630611,40.01254249,-105.2461997,804.9666,294.956848,130.0191075,5.494975554
1863.93572,24.17737,40.01256169,-105.2462411,804.684448,294.927551,130.3377221,5.53431527
1866.914319,24.22779,40.01258567,-105.2463058,804.439,294.894867,130.6085683,5.578238845
1869.877426,24.3249035,40.01261651,-105.2463882,804.1395,294.856,130.836502,5.627073382
1872.735336,24.3828888,40.01265566,-105.2464742,803.8492,294.822174,131.0229276,5.6804862
1875.379044,24.3503437,40.01269777,-105.2465477,803.6371,294.795715,131.1654796,5.737266781
1878.298654,24.3321438,40.01273585,-105.2466017,803.3777,294.765778,131.2593629,5.795705403
1881.611682,24.3870468,40.01277017,-105.2466414,803.0559,294.73,131.2994145,5.854072769
1885.113044,24.4805431,40.01280598,-105.2466764,802.704468,294.6936,131.2828406,5.910842853
1888.544931,24.5550766,40.01284848,-105.246713,802.3914,294.661438,131.211758,5.964810983
1891.920125,24.5876446,40.01289986,-105.2467514,802.1104,294.634857,131.092812,6.015247001
1895.532347,24.6298122,40.01295414,-105.2467902,801.798767,294.605316,130.9329701,6.061790985
1899.413628,24.6744118,40.01300265,-105.2468309,801.4113,294.569946,130.7356181,6.104047807
1903.037884,24.6875362,40.01304126,-105.2468797,801.037048,294.538055,130.5014837,6.141166544
1905.758604,24.6836033,40.01307331,-105.2469422,800.8118,294.5088,130.2329303,6.171838753
1907.771457,24.7101574,40.01310568,-105.2470195,800.650146,294.480072,129.935821,6.194775536
1909.579914,24.7412434,40.01314472,-105.2471059,800.4795,294.454865,129.6170207,6.209177199
1911.452794,24.7302666,40.01318874,-105.2471887,800.2855,294.435242,129.2805982,6.214713741
1913.333634,24.6916122,40.01323292,-105.247256,800.1165,294.4206,128.9265814,6.211232613
1915.3611,24.7081375,40.01326992,-105.2473039,799.9358,294.402771,128.5526483,6.19854913
1917.60005,24.7896137,40.01329749,-105.2473389,799.7008,294.380981,128.1577479,6.176543382
1919.862176,24.86321,40.01332168,-105.2473723,799.506348,294.359253,127.7444291,6.145392339
1922.298859,24.8925571,40.01335098,-105.2474158,799.305664,294.337555,127.3182711,6.10560143
1925.074956,24.97597,40.01338732,-105.247477,799.0356,294.305969,126.8844774,6.057742725
1927.94375,25.1336823,40.01342843,-105.2475568,798.7498,294.264984,126.4454752,6.002173225
1930.618009,25.2420769,40.01347002,-105.2476489,798.494,294.2287,126.0029186,5.939034449
1932.953754,25.2365475,40.01351005,-105.2477421,798.3099,294.201721,125.5608926,5.868492282
1935.470081,25.1907387,40.01354926,-105.247825,798.0919,294.173553,125.1269732,5.791073738
1938.344991,25.2099533,40.01358772,-105.2478901,797.7997,294.1408,124.7110409,5.707884917
1941.341293,25.2412853,40.01362346,-105.2479374,797.512756,294.110931,124.3219004,5.620408265
1944.372372,25.2656822,40.01365111,-105.2479709,797.239441,294.082275,123.9641115,5.529954827
1947.564292,25.2589836,40.01366914,-105.2480002,796.9461,294.055237,123.6384069,5.437305664
1950.981303,25.242588,40.01368242,-105.2480337,796.668,294.0287,123.3443714,5.342919851
1954.864253,25.2851028,40.01369381,-105.2480745,796.3034,293.997375,123.0835645,5.24727227
1958.895459,25.3240433,40.01370637,-105.2481245,795.8908,293.963654,122.8616632,5.151118871
1962.328667,25.3383732,40.01372401,-105.2481858,795.569031,293.9349,122.6872117,5.055588336
1964.979451,25.3316441,40.01374492,-105.2482517,795.352844,293.9121,122.5682074,4.962005088
1967.317648,25.2783337,40.01376439,-105.2483122,795.1598,293.890625,122.5099651,4.871558396
1969.903607,25.19482,40.01378012,-105.2483629,794.911133,293.86972,122.5156813,4.785125041
1972.70817,25.0955772,40.01379277,-105.2484034,794.6482,293.849426,122.58718,4.70313521
1975.656466,25.1600838,40.0138047,-105.2484401,794.3634,293.824341,122.7247083,4.625563647
1978.472821,25.4171219,40.01381752,-105.2484793,794.085938,293.792847,122.9261617,4.552219299
1980.852704,25.5839882,40.01383359,-105.2485222,793.882446,293.766174,123.186648,4.4831384
1983.13971,25.64072,40.0138515,-105.2485644,793.698669,293.744232,123.499558,4.418751595
1985.87984,25.7408772,40.01387009,-105.2486048,793.4284,293.71637,123.8590573,4.359733646
1988.944867,25.8548889,40.01388976,-105.2486408,793.1456,293.683167,124.2609117,4.306631654
1992.240079,25.8408928,40.01391164,-105.2486707,792.857361,293.6519,124.7000321,4.259562118
1995.72693,25.7208977,40.01393535,-105.248695,792.496643,293.6214,125.16653,4.218181545
1998.885185,25.68695,40.01396132,-105.2487176,792.203369,293.592224,125.6447751,4.181947166
2001.774879,25.7577457,40.01398607,-105.2487429,791.9843,293.565216,126.1171726,4.150466758
2005.118552,25.8897228,40.01400607,-105.2487745,791.680054,293.533,126.568709,4.123605284
2009.03752,26.0142574,40.01402204,-105.248815,791.305969,293.496948,126.9896171,4.101213745
2013.280645,26.11482,40.01403954,-105.2488627,790.915344,293.4595,127.3741423,4.082789443
2017.482351,26.16035,40.01405968,-105.2489133,790.5217,293.4275,127.7164469,4.067448053
2021.228564,26.1644058,40.01408425,-105.2489635,790.175354,293.400055,128.0082685,4.054241315
2024.297395,26.1903267,40.01411038,-105.2490112,789.9099,293.3711,128.2402405,4.042517443
2026.964992,26.3121872,40.01413629,-105.2490548,789.664,293.3366,128.4051562,4.032118287
2029.442876,26.4404125,40.01416588,-105.2490949,789.4342,293.3001,128.4995912,4.023308902
2032.011868,26.4790077,40.01419854,-105.2491317,789.204834,293.2668,128.5219993,4.016535894
2034.850422,26.4950447,40.01423089,-105.2491634,788.9416,293.237122,128.4703524,4.012185582
2038.025254,26.5401821,40.01426168,-105.2491894,788.640259,293.2087,128.3432667,4.010424281
2041.378738,26.5799351,40.01429065,-105.249211,788.334961,293.180725,128.1435691,4.011261488
2044.839993,26.6180573,40.01431861,-105.2492319,788.0283,293.151154,127.8796586,4.014637518
2048.264914,26.64712,40.01434555,-105.2492562,787.7232,293.125244,127.5628522,4.020502015
2051.631418,26.6974316,40.01436908,-105.249286,787.3917,293.098724,127.2034769,4.028908374
2054.614046,26.7569466,40.01438926,-105.2493206,787.109863,293.0689,126.8090618,4.040045914
2057.260941,26.8202057,40.01440802,-105.2493594,786.898438,293.041,126.3858771,4.054128768
2059.980568,26.942318,40.01442785,-105.2494007,786.6774,293.009277,125.9415695,4.071438824
2063.064317,27.0743446,40.01445134,-105.2494406,786.368958,292.971558,125.4868701,4.092420888
2066.096513,27.0931511,40.01447993,-105.2494758,786.0684,292.9387,125.034814,4.117643743
2068.590709,27.0111771,40.01450857,-105.2495071,785.836731,292.915131,124.598229,4.14755292
2070.421437,26.9026814,40.01453062,-105.2495391,785.693,292.897919,124.1879866,4.182202523
2071.982138,26.8234577,40.01454268,-105.2495758,785.5588,292.882568,123.8123697,4.221123079
2073.599452,26.8901272,40.01454571,-105.2496197,785.393,292.863159,123.4779219,4.263539184
2075.444141,27.0461674,40.01454425,-105.2496693,785.2245,292.838562,123.1905603,4.308739692
2077.730484,27.1952057,40.01454518,-105.2497227,785.019653,292.811066,122.9552408,4.356272403
2080.456737,27.290062,40.01455157,-105.2497772,784.788269,292.780151,122.7743413,4.405790411
2083.540431,27.2858925,40.01456526,-105.24983,784.511047,292.746124,122.6471815,4.456816677
2086.616104,27.2260532,40.01458623,-105.2498784,784.189331,292.715851,122.5711275,4.508665681
2088.923483,27.13331,40.01461293,-105.2499213,783.9755,292.704071,122.5435352,4.560606944
2090.32059,27.0881672,40.01464172,-105.2499597,783.884949,292.704681,122.5629848,4.611986443
2091.325108,27.14769,40.01466918,-105.249995,783.803955,292.701263,122.6290084,4.662236086
2092.452574,27.235733,40.01469256,-105.2500295,783.6843,292.694824,122.7402625,4.710793654
2093.766565,27.3286324,40.01471344,-105.250067,783.552368,292.6848,122.8927209,4.757124299
2095.213317,27.39656,40.01473411,-105.2501101,783.430969,292.671143,123.0791078,4.800820203
2096.872029,27.44193,40.01475598,-105.2501591,783.275757,292.65625,123.2899141,4.84165464
2098.651045,27.4682426,40.01477963,-105.2502128,783.091064,292.642334,123.5159936,4.879516596
2100.355606,27.4892883,40.01480685,-105.2502704,782.955566,292.628052,123.7513995,4.914319472
2102.264419,27.5275345,40.01483586,-105.2503311,782.796448,292.6106,123.9941751,4.945888529
2104.553775,27.6131458,40.0148672,-105.2503939,782.576843,292.584167,124.244652,4.973949048
2107.072475,27.6684875,40.01490328,-105.2504569,782.3397,292.558075,124.5026638,4.998279507
2109.656724,27.6385937,40.01494424,-105.250519,782.101563,292.5396,124.7667226,5.018939135
2112.134754,27.5810642,40.01498596,-105.2505811,781.881165,292.523,125.0344368,5.036380045
2114.593513,27.5392857,40.01502481,-105.2506438,781.6612,292.50296,125.3025719,5.051289554
2117.186688,27.5314522,40.01505949,-105.2507059,781.418,292.481964,125.566932,5.064295426
2120.017121,27.565485,40.01509046,-105.2507651,781.1638,292.460846,125.8236853,5.075779783
2123.270312,27.6557827,40.01511803,-105.2508179,780.885437,292.436218,126.0706478,5.085898358
2127.094251,27.7971916,40.01514128,-105.2508621,780.5267,292.4067,126.3076246,5.094687937
2131.210129,27.8909683,40.01516059,-105.2508981,780.1433,292.3722,126.5363471,5.10221023
2135.359362,27.8935776,40.01517766,-105.2509266,779.7676,292.33316,126.7599307,5.108629501
2139.371973,27.8648643,40.01519316,-105.2509485,779.407,292.289063,126.9824441,5.114194095
2143.182507,27.8436584,40.01520895,-105.2509686,779.0766,292.253052,127.2080422,5.11921702
2147.092271,27.8964443,40.01522684,-105.2509928,778.716248,292.218781,127.4401573,5.124034536
2151.05455,27.9779968,40.01524738,-105.2510245,778.342651,292.179169,127.6806819,5.128859877
2154.975063,27.98478,40.0152709,-105.2510642,778.009,292.14212,127.9299691,5.133675413
2159.083343,28.0412388,40.01529439,-105.2511086,777.6352,292.104218,128.1867514,5.138283112
2163.347605,28.1714439,40.01531609,-105.2511545,777.2214,292.066528,128.4486872,5.142403463
2167.510102,28.2905388,40.0153392,-105.251203,776.878,292.030182,128.7126198,5.145742975
2171.761276,28.40392,40.01536466,-105.2512539,776.5065,291.988434,128.9756406,5.14806288
2175.979792,28.4449177,40.01539219,-105.2513065,776.1058,291.943054,129.2368874,5.149233501
2179.721935,28.4454174,40.0154224,-105.2513606,775.7475,291.904144,129.498464,5.149263426
2182.685507,28.4511547,40.01545475,-105.2514171,775.475,291.878754,129.7637552,5.148297153
2184.898997,28.45575,40.01548925,-105.2514776,775.3158,291.859863,130.0351468,5.146515737
2187.052286,28.5483017,40.01552683,-105.2515432,775.133667,291.835754,130.3131515,5.143983915
2189.456849,28.700079,40.0155675,-105.2516106,774.884033,291.805969,130.5963628,5.140611798
2191.843074,28.7689114,40.01561022,-105.2516753,774.6506,291.7795,130.8812427,5.136209511
2193.933088,28.6797466,40.01565267,-105.2517348,774.4776,291.761078,131.1629288,5.130611779
2195.856184,28.5586376,40.01569385,-105.2517897,774.3145,291.743835,131.4364482,5.123807768
2197.661661,28.52046,40.01573163,-105.2518414,774.148743,291.723969,131.6969823,5.116054112
2199.341454,28.5324059,40.01576472,-105.251889,773.9867,291.707733,131.9400327,5.107843639
2200.776788,28.5572453,40.01579414,-105.2519299,773.8383,291.69754,132.1623862,5.09980033
2202.019072,28.6122055,40.01582122,-105.2519606,773.7223,291.6877,132.3633066,5.0925335
2203.433413,28.7701969,40.01584574,-105.2519803,773.621338,291.6676,132.5441242,5.086580193
2205.670268,28.9621449,40.01587257,-105.2519948,773.437866,291.6383,132.7060813,5.082454502
2209.023897,29.0825748,40.01590363,-105.2520127,773.1321,291.6066,132.8486359,5.080713934
2213.15262,29.1536713,40.01593594,-105.2520414,772.7168,291.569733,132.9695979,5.081921304
2217.152575,29.1321259,40.01596548,-105.2520833,772.344543,291.53476,133.0663264,5.086539599
2220.534107,29.0054283,40.01599042,-105.252136,772.0742,291.5098,133.1366977,5.094869184
2223.586312,28.9127655,40.01601061,-105.2521924,771.8235,291.489868,133.1799999,5.107072619
2226.681751,28.9631042,40.01602821,-105.2522432,771.54364,291.466583,133.1973155,5.123253513
2229.906498,29.1243534,40.01604643,-105.2522816,771.2318,291.4345,133.1911086,5.143507647
2232.945253,29.3118057,40.01607025,-105.2523077,770.955566,291.401337,133.1639023,5.167886428
2235.66983,29.3962345,40.01610226,-105.252326,770.713867,291.375153,133.1173268,5.196266886
2238.096223,29.3509731,40.01614278,-105.2523446,770.496765,291.354126,133.0524224,5.228271408
2240.345215,29.2598362,40.01618897,-105.2523723,770.30365,291.338867,132.971002,5.263292473
2242.589166,29.1841,40.01623433,-105.2524136,770.1062,291.3261,132.8762843,5.300575798
2244.906516,29.1929646,40.01627237,-105.2524689,769.881165,291.3088,132.7721868,5.339380469
2247.131497,29.2449722,40.01630156,-105.2525347,769.664246,291.2865,132.6626638,5.379193064
2249.160132,29.2700138,40.0163234,-105.2526053,769.489746,291.259979,132.5520515,5.419690529
2251.293336,29.331728,40.01634156,-105.2526754,769.3205,291.230469,132.44467,5.460475375
2253.950143,29.4574146,40.01635979,-105.2527411,769.0863,291.197418,132.3435057,5.500891554
2257.188247,29.6012783,40.0163808,-105.252801,768.7898,291.161865,132.2496751,5.54003039
2260.678852,29.6781559,40.01640993,-105.2528554,768.467957,291.132,132.1637406,5.5768682
2263.8327,29.6399651,40.01644865,-105.2529057,768.171631,291.111877,132.087627,5.61049086
2266.23996,29.5920639,40.01649467,-105.2529532,767.9598,291.096222,132.0249834,5.640197847
2267.825081,29.6111145,40.01654512,-105.2529989,767.8203,291.084167,131.9791839,5.665450187
2269.021461,29.6705322,40.01659566,-105.2530421,767.7272,291.071442,131.9517884,5.685878977
2270.336039,29.7154369,40.0166428,-105.2530827,767.6127,291.0531,131.9431716,5.70134458
2272.247404,29.74463,40.01668461,-105.2531228,767.4231,291.0284,131.9541348,5.71190085
2274.730075,29.74543,40.01672116,-105.2531653,767.204651,290.999878,131.9864974,5.717667711
2277.74751,29.7653046,40.01675421,-105.2532128,766.9222,290.970459,132.0427153,5.718726414
2280.977476,29.8083782,40.01678528,-105.2532658,766.6479,290.938477,132.1247698,5.71518232
2284.39936,29.8850136,40.01681669,-105.2533246,766.3253,290.900452,132.2331956,5.70730503
2287.684066,29.9608173,40.01684914,-105.2533873,766.029846,290.8632,132.3669722,5.695592026
2290.817542,30.01287,40.01688491,-105.253451,765.7696,290.827972,132.5250538,5.680607929
2294.163409,30.0682373,40.01692598,-105.2535135,765.461,290.793518,132.7077122,5.66284251
2297.738608,30.0700169,40.01696895,-105.253573,765.146057,290.762146,132.9166714,5.642780684
2301.602372,30.053299,40.01700864,-105.2536308,764.814331,290.728882,133.1540669,5.621023267
2305.751764,30.0776024,40.0170411,-105.2536883,764.4318,290.690155,133.4214538,5.598268836
2309.791619,30.0828838,40.01706553,-105.2537459,764.048,290.655334,133.718824,5.575231013
2313.274811,30.0687122,40.01708448,-105.2538006,763.747,290.629639,134.0437429,5.552560973
2316.349813,30.1093216,40.0171023,-105.2538476,763.4855,290.605164,134.3915803,5.530799586
2319.341614,30.21378,40.01712291,-105.2538852,763.2189,290.577667,134.7569532,5.510328906
2322.466736,30.3160782,40.01714832,-105.2539165,762.9517,290.5469,135.1357717,5.491327529
2325.922727,30.4371948,40.0171792,-105.2539463,762.6291,290.511536,135.5267018,5.47381702
2329.511577,30.516304,40.01721251,-105.2539779,762.287659,290.478027,135.9310887,5.457762448
2332.862144,30.5113163,40.01724507,-105.2540108,761.9984,290.4493,136.350605,5.443161709
2336.032296,30.5035973,40.01727642,-105.2540421,761.7279,290.422821,136.7846659,5.430090514
2339.229677,30.54606,40.01730893,-105.2540711,761.439,290.392761,137.2294326,5.418612036
2342.53832,30.5946636,40.01734656,-105.2540999,761.137939,290.358673,137.6780056,5.408576808
2345.978959,30.6379356,40.01739218,-105.2541333,760.8398,290.325348,138.1208683,5.399514344
2349.695331,30.7161636,40.01744594,-105.2541749,760.5077,290.287231,138.546673,5.390737087
2353.532849,30.83339,40.0175039,-105.2542257,760.1621,290.244659,138.9445707,5.381617557
2357.310972,30.90435,40.01756042,-105.2542846,759.827332,290.207916,139.3069729,5.371719545
2360.915889,30.9025631,40.01761034,-105.2543486,759.4938,290.179474,139.6310756,5.360753301
2364.253577,30.86449,40.01765093,-105.2544125,759.1965,290.155182,139.9170163,5.348374956
2367.432946,30.861681,40.01768283,-105.2544709,758.941,290.1271,140.1644974,5.334041957
2370.859472,30.9548969,40.01771039,-105.254521,758.635742,290.09198,140.3698208,5.317090686
2374.593202,31.0686455,40.0177374,-105.2545632,758.285461,290.0564,140.5267171,5.29698
2378.354524,31.2057629,40.01776286,-105.2545992,757.9394,290.019135,140.629738,5.273404169
2381.940075,31.3442,40.01778597,-105.2546316,757.63855,289.9816,140.6765681,5.246205562
2385.367522,31.3950825,40.01780929,-105.2546619,757.3447,289.950623,140.6676482,5.215280304
2388.718639,31.3933887,40.01783551,-105.2546894,757.0327,289.923584,140.6045464,5.180563674
2391.869663,31.4013538,40.01786611,-105.2547135,756.7437,289.894165,140.4881855,5.14207714
2394.810761,31.4108124,40.01790282,-105.2547361,756.4897,289.862427,140.3178668,5.100056757
2397.622231,31.4435921,40.01794534,-105.2547609,756.265,289.8309,140.092661,5.055071601
2400.68637,31.503,40.01799289,-105.25479,755.9766,289.7989,139.8140081,5.007956139
2403.77859,31.52471,40.01804479,-105.2548237,755.679138,289.77243,139.4870577,4.959590545
2406.639126,31.5349884,40.01810022,-105.25486,755.4415,289.7481,139.1201054,4.910793965
2409.377641,31.6104736,40.01815667,-105.2548971,755.211548,289.723,138.724047,4.862305956
